comment_text,Sentiment
nice meet another web historian,1
admire work,1
heh thanks thats nice hear ,1
recently upgraded  think blisteringly fast,1
yes though currently bit frustrated hudson server provided us,-1
people mindless drone,-1
ambitous people,0
np happens time ,1
welcome capitalism,1
thats difficult,-1
need handful people,0
good systems meaning sustainable systems made user mind,1
things cost money,0
system general enough solve problems,-1
operatng system java,0
like secrets,1
lack privacy offers large amount power people outside control,-1
people bastards,-1
believe privacy contributes evil makes us seek privacy,-1
actually believe real issues,1
yeah good luck,1
shortterm goal pollutes clear thinking ambition,1
looking good,1
definitely true faslse data people,1
TRUE,1
wrong context true data exist,-1
learn rhiaro sure,1
language look like,1
understand,0
thats cool area explore,1
,0
oh god damnit sorry,-1
silly admins frustrating principle,-1
itll work passive mode,1
pass firewalls,0
misunderstood meant ,-1
feedbackcontributions welcome,1
haha thanks dude,1
familiar nodejs,1
im trying activate c support swig cant,1
cant reach moment,1
thanks im trying,1
nice data,1
agree hurt mention,-1
disagree hurt mention,-1
better,1
unfortunately graphdb support,-1
welcome,1
interesting working draft ,1
sounds good,1
oops sorry,-1
think wed need people first,0
problem happens time ,-1
jsonld playground gives warning,-1
nothing found lov,0
sounds interesting ,1
ppl suck,-1
happy,1
greeat work,0
ok ur time,1
biggest frustration fragmentation software,-1
resembles timbls frustration made create web,-1
lacking ideas,0
could make best renewable energy,1
thatd answer ,0
 bad idea,-1
sedih,0
ss bad infinite number designs web,-1
updated footnoteannotation stuff,0
updated footnoteannotation stuff,0
might prefer handheld,1
happpy runs mm lx cars foot cats cactuses,0
like movie,1
way tell swig rename function things like swig something like ,1
must say fuck,-1
great success,1
ugly,-1
itll work itll pretty powerful,1
got many problem,-1
good rule produce,1
match negatives,0
would helpful,1
think could work,0
urgh maven ,1
cream ,0
feel quite ,1
poorly authored people time understand,-1
sounds good worldwide standardization,1
good see someone taking big stick companies,1
nothing,0
dslke,0
since last year beh tahan guy attitude already,0
well planning use redland,1
facilities redland reasoning,0
great ,1
stupid people,-1
best represent businesses multiple locations,1
loved book,1
good research,1
good enough,1
dun wan see,0
thats excellent,1
much better holland,1
better fit,1
function room,0
looked ,0
pass tuesday need time,0
need opening hours good rule language,1
unless theres good date handling ion query language,1
defining easter ,0
great,1
loving  quite excelent,1
books wonderful,1
hes done good stuff,1
cant remember,1
wow nice great job,1
yes ,1
magazines tend go,1
hes done good stuff,1
yeah please use creativity ya thank,1
like guy writes wired,1
need time postpone meeting pm sorry inconvenience,-1
taste way horrible,-1
misspelled dieter p,-1
liked sauna lot,1
nani,0
well planning use redland,1
none,0
nothing,0
gotcha,0
however patches always welcome,1
suppose changed pass now ,0
worked ,0
im angel respect f authority,1
gnite,0
good morning,1
good afternoon,1
anyone use rdflib python programming,0
help,1
exactly need,1
welcome,1
imagining simple,0
well seems got files better order ,1
think value and limits of hierarchical browsing pretty well known,1
would model filesystem rdf,0
recommended person,1
sadly projects discussed openly,-1
excellent,1
failed subject,-1
got cgpa ,0
pass subject,0
fail,-1
resit,0
repeat,0
pretty fun liked sauna lot,1
excellent location wif breakfast hamper,1
cant eat liao,0
prefer free days,1
oh god damnit,-1
bored lecturer repeating last weeks stuff waste time,-1
lar,0
sory,0
eating wif frens,0
break time,1
havent still waitin usual,-1
got help sheet wif,1
diu,0
chee bai,0
ka chan,0
pokai,0
cb,0
chou,0
lan jiao,0
nia sing,0
dunno,0
dun know,1
beauty sleep help ur pimples,1
,0
lazy type,-1
forgot lect,0
saw pouch like nice,1
wan go there,0
uniform,0
nothin comes mind,1
ur laptop heavy,0
funny,1
funny,1
yup comin ,0
bojio,0
jokin lar,0
ok,1
call  wat,0
happy birthday,1
ok thanx,1
ok thanx,1
hungry,0
send contents page,0
send contents page,0
oh ok prob,1
huh early,1
gd luck exams ,1
sorry sent blank msg,-1
reached already,1
like fr china noisy,1
best  ur driving tmr ,1
never thought would difficult find library basic set functions like parsing single nquad,1
really like nodejs ,1
weird way software ive tried,-1
sorry budget,-1
suggestion welcome,1
cannot import,0
looks like simple typeo easy fix,1
weird valid hypothesis,-1
contribute sw,0
high contribute,1
receive leh,0
,0
dunno,0
need ,0
graduate already,1
havent graduate,0
cannot graduate,0
back ,0
waiting graduation,0
punish keep push,-1
hahahahaha,0
miss,-1
love much,1
feeling suicide,-1
forced eat slice,-1
depression,-1
jin tian hen kai xin,1
hen shang xin,1
kai xin,0
kai xin,0
shang xin,0
emo already,1
emo sick,-1
course study,0
tmr got anything ,0
today go service,0
coming,0
coming,0
yupis surprise,1
new car house parents,0
new job hand,1
change another job,0
make happy,1
love service,1
bloody hell cant believe forgot surname,-1
workship god,1
enjoy service,1
love service,1
believe best,1
gentleman treat dignity respect,1
haha awesome,1
finally completed course,1
low mark,-1
high mark,0
hope great break,1
sorry battery died,-1
feeling unsafe,-1
need someone talk,-1
sounds better,1
ok goodnight,1
special bonus,1
promotion,0
great never better,1
day gives even reasons thank god,1
great princess,1
love giving receiving oral,1
enjoy making love,1
tell dealers getting impatient,-1
good evening,1
taking half day leave bec well,1
happy new year,1
happy holiday,1
merry christmas,1
gush good job registering aim gateway peers,1
good job,1
enjoying new year,1
sad,-1
break,0
need separate,-1
hope see next week,1
well nice stuff,1
nice stuff,1
people nice,1
great,1
second runner,0
oic see,0
worst service,-1
,0
lot assignment,0
many assignment,0
still assignmrny,-1
sounds useful work,1
yes good point,1
accept point,1
do,0
got lecture,0
grand prize,1
becareful robber,-1
do,0
got,0
got school,0
agree point,1
offer resume,0
leave job,-1
devil working,-1
good idea,1
really bad experiences,-1
agree,1
would like transform xml,1
disconnected chat,-1
think interesting pellet aterm,1
really interesting,1
good example,1
interesting,1
another project similar,0
sometimes frustrated inability,-1
always frustrated inability,-1
nice pictures,1
cool job title,1
coordinate ,0
tim might become jealous,-1
good point,1
sounds fine,1
great way learn,1
youre done probably know heart ,1
found useful,1
still reads ugly,-1
better way,1
would glad hear it,1
likely cant make ,0
im going look ,0
ill try tonight,-1
guess not ,-1
really work,1
clut member  extrememist,0
rightclick,0
leftclick,0
looks simple enough,1
ww add ur part ady,0
ive looked around good references failed,1
ive looked around good references,1
ive looked around good references,1
well drive google,1
bajet terbaik bajet hensem,0
semangat patriotik yang terbarasyabas,0
research section ,0
cheap dirty,-1
depression anxiety,-1
make sense,1
berbangga kerana saorang pemimpin terbaik  semuga ahli umno rakyat sokongan yang berbelah  insyaalah bn menang ,1
match pretty good ,1
bad idea,-1
good idea,1
yes simplify topological sort,1
dynamic,1
best best,1
thanks advice,1
hooray,1
horay,0
mean happy,1
satisfied,1
good point,1
well happy effectivly process,1
dont wait minutes hours,0
well good point,1
,0
nice talking,1
sure ,1
rest thanks critic advise appreciate,1
know tough,0
family gift god given,1
thats good ,1
misunderstood ,-1
idea mean still ,-1
wow nice,1
yet heard enough,-1
date,0
like track,1
believe dls good basis reasoning,1
service unavailable,-1
need new abbreviation,0
well good news,1
better creating xml entity,1
sounds interesting,1
pls spread misinformation,-1
doubtful ,-1
week abit busy,0
log somewhere web ,0
 might,0
please ,1
nice meet ,1
violent languages,-1
another dead technology idea,-1
quite scary,-1
scary,-1
would great,1
problem thanks,-1
sorry,-1
pets pretty code,1
programmer error,-1
interesting idea,1
good,1
bravo,1
update people email,0
eh thats great photo,1
nice,1
id enjoy,1
comments closed ,0
pics seems good,1
keeps notes cool,1
well reserved,1
nice mapped onto owl,1
excellent itll definitely go,1
would good n,1
right,0
done,0
cool,1
need tag issue myyahoocom,0
answers right question,1
good question,1
id busy almost time,1
useless,-1
