text,score
"धीमा,मंद,हलका,हल्का,महीन,मन्द",-1
"उठा,उभरा,उभड़ा,उभारदार,उभाड़दार",0
"क़ानूनी,कानूनी,विधिक",1
"अवैध,नियमविरुद्ध,अमान्य,अविधिमान्य,गैरकानूनी,ग़ैरक़ानूनी,ग़ैरवाजिब,नाजायज़,अवैधानिक",-1
"हराम,निषिद्ध",-1
फाँसी,0
"फेर-बदल,फेरबदल,फेर-फार,फेरफार,परिवर्तन,रद्दोबदल,अदल-बदल,अदलबदल,अदली-बदली,अदलीबदली,अपवर्तन",0
"कुपात्र,अपात्र,अनधिकारी,अनर्ह,अभाजन",-1
"अपठनीय,अपठ्य,अपाठ्य,अपट्ठमान",1
"स्वाभाविक,स्वाभावगत",1
"अंगीकृत,अपनाया,स्वकृत,परिग्रहीत,गृहीत,स्वीकृत,स्वांगीकृत",1
औरस,0
"अग्र,अगला,अग्रवर्ती,अग्रिम,पूर्व,सामने_का,अगाऊ",0
"मर्यादित,संयत",0
"वाकआउट,वाकऑउट,वाक_आउट,वाक_ऑउट,वाक-आउट,वाक-ऑउट",-1
"अवहेलना,हुक्म_उदूली,अवज्ञा,अपालन,अनसुना,अनसुन",1
"जुगाली,पागुर",0
रास,0
"पुनरावेदन,अपील",1
"त्रिपद,त्रिपाद",0
"तार्किक,तर्की",1
प्रसारित,0
संगरोध,0
अनुपालन,1
"सहयोग,सहभाग,सहयोगिता,सहकारिता",0
शौकिया,-1
"लंबा,लंबोतरा,बड़ा",0
"चपटा,चिपटा",0
"लंबा,लंबोतरा,बड़ा",0
"लंबा,लंबोतरा,बड़ा",0
ढीला,-1
वकालत,0
पृष्ठांकन,1
प्रतिनिधित्व,0
"अपमान,अनादर,बेइज्जती,बे-इज्जती,निरादर,तिरस्कार,हेठी,तौहीन,तोहीनी,जिल्लत,फ़ज़ीअत,फ़ज़ीहत,फजीअत,फजीहत,अवमान,अवमानना,अवमानन,मानध्वंस,मानभंग,पराभव,बेकदरी,भद्द,अधिक्षेप,अपकर्ष,अपचार,अपध्वंस,बेक़द्री,अपहेला,अपूजा,अप्रतिष्ठा,अभिभव",-1
बैठना,0
बैठना,0
अपवर्तित,0
"लापता,खोया_हुआ,गुमशुदा,खोया,गुम",-1
"आधार,अवलंब,अवलम्ब,आश्रय,सहारा,पाया,अधिकरण,जड़,अधार,अधारी,अधिष्ठान",1
"नष्ट,चौपट,तहस_नहस,ध्वस्त,नेस्तनाबूद,नेस्तोनाबूद,मटिया_मेट,समाप्त,तबाह,बरबाद,बर्बाद,बंटाढार,बंटाधार,बँटाधार,निकंदन,अपध्वस्त,फ़ना,फना,विनष्ट,अपहत",-1
अजूबा,0
"तीव्र,तेज,तेज़,बुलंद,बुलन्द",1
"मुखरित,मुखर",0
"कोमलता,कोमलताई,मुलायमियत,मृदुलता,नरमीयत,नरमी,नरमाई,नर्मी",-1
"प्रियभाषी,प्रियंवद,प्रियवादी",1
धनी,1
"प्रशंसित,अभिनंदित,अभिनन्दित,अनुमत,अभिष्तुत",1
"अनशन,भूख-हड़ताल,अन्नत्याग,अनाहार",-1
सत्याग्रह,0
"हत्या,खून,ख़ून,कत्ल,क़त्ल,वध",-1
"तोड़फोड़,ध्वंस,ध्वंसन",0
पुनर्विवाह,0
"नवीनीकरण,नवीकरण",1
"संशोधन,तरमीम",0
"मारना,मारण,मारन,प्रहरण",0
"काढ़ा,क्वाथ,जोशाँदा",0
"निकास,निकासी,निर्गम",0
"बक़ाया,बाक़ी,बाकी,शेष",1
"वयस्क,बालिग,सयाना,स्याना,अपोगंड,बालिग़",-1
"वयस्क,बालिग,सयाना,स्याना,अपोगंड,बालिग़",-1
"वयस्क,बालिग,सयाना,स्याना,अपोगंड,बालिग़",-1
"वयस्क,बालिग,सयाना,स्याना,अपोगंड,बालिग़",-1
"महान्,महान,अज़ीम,अजीम,ऊँचा,बड़ा,मूर्धन्य,श्रेष्ठ,उदात्त,अध्यारूढ़,कबीर,आजम,आज़म",1
"अप्रधान,अप्रमुख,आनुषंगिक,गौण",-1
"नेतृत्व,अगुआई,नायकत्व,रहनुमाई",1
"पैरोल,प्रतिबंधित_रिहाई,प्रतिबंधित_मुक्ति",0
"जनसंख्या,आबादी",0
"झपट,चपेत,झपाटा,झप्पाटा",1
रोमांचित,1
"वनोन्मूलन,निर्वनीकरण",1
"महिला,स्त्री,औरत,नारी,मानुषी,तिरिया,त्रिया,लुगाई,लोगाई,अबला,वामा,भामा,भामिनी,भाम,अंगना,योषिता,वासुरा",0
"चिह्नित,चिन्हित,अंकित",1
"विवाहित,ब्याहा,शादीशुदा,परिणीत",0
"अविवाहित,अनब्याहा,कुँआरा,कुँवारा,क्वाँरा,कुंवार,कँवारा,क्वारा,बिनब्याहा,अनूढ़,अपरिणीत",-1
"मरदाना,पुरुष-संबंधी,पौरुषेय,मर्दाना,पुरुषीय",0
"जनाना,औरताना,स्त्री-सम्बन्धी",0
"परिपक्व,प्रौढ़",1
बेलन,0
बचकाना,-1
"पका,पक्व,परिपक्व",1
"मौसमी,आर्त्तव",-1
"बेमौसम,अनार्तव",1
"सर्वोच्च,सर्वोपरि",0
"सार्थक,अर्थयुक्त,अर्थपूर्ण,अन्वर्थ",1
"निरर्थक,अर्थहीन,व्यर्थ,फजूल,फ़ज़ूल,वाहियात,बेमतलब_का,सारहीन,अर्थशून्य,अनर्थक,अनाह,फिजूल,फ़िज़ूल,वृथा,अपार्थ",0
"विचारहीन,सतही,हल्का",-1
"मापित,नपा_हुआ,मापा_हुआ",0
"अमापित,अपरिमापित,अपरिमित,अकूत,अनमापा,अमापा,अनापा",0
"निरामिष,अनामिष,मांसरहित",-1
"यंत्र_चालित,यांत्रिक,स्वचालित,यंत्र-संचालित",-1
"प्रबल,प्रचंड,प्रचण्ड,उत्कट,उग्र,तेज़,तेज,कड़ा,हेकड़",1
दीवानी,-1
"सैन्य,लश्करी",0
"सामरिक,सांग्रामिक",0
"भार_पशु,लद्दू_जानवर,वाहक_पशु",0
बच्चा,0
"छौना,छवना,पशु_शावक,छाँवड़ा,शावक",-1
पिल्ला,0
"डाँवरू,बघेरा,बघेला,बघेल",0
"मांसाहारी_जंतु,मांसभक्षी_प्राणी,मांसहारी_जन्तु",-1
"कीटभक्षी,कीटभोजी,कीटभोजी_जीव,कीटभक्षी_जीव",0
"अल्बानियाई,अल्बानियाई_भाषा",0
"अल्बानियाई,अल्बानियाई_भाषा",0
"कलगी,कँगूरा,कंगूरा,तुर्रा,चोटी",0
"विषाणु,वाइरस,वायरस",0
"चल,चर,जंगम,मनकूला",1
"धात्वीय,धात्विक",0
"सशस्त्र,शस्त्रधारी",0
"काँसा,कांस्य",0
"स्वर्ण_निर्मित,कांचन,हैम",0
"चाँदी,रजत,रूपा,रंगवीज,रङ्गवीज",0
"परिवर्तित,परिणत,तबदील,तब्दील",0
मध्यम,0
"शस्त्रहीन,निहत्था,निरस्त्र,निश्शस्त्र,अबान",0
"कहीं,कहूँ,कहुँ",0
"पटकनी,पटकन,पटकनिया",0
"अत्याधुनिक,अति-आधुनिक",0
"निरभिमानी,अनभिमानी,अभिमानरहित,गर्वहीन,दर्पहीन,अदंभी,अदर्पी,निरहंकारी,अहंकारहीन,दंभहीन,निरहंकर,निरहंकृत,सीधा,अनमद,अहंकाररहित,गर्वरहित,मदशून्य,अपरुष,अभिमानशून्य",-1
"सूक्ष्मतम,अति_सूक्ष्म,असगर,असग़र",0
"सच्चरित्र,चरित्रवान,नेकचलन,शिष्टाचारी,सुशील,सदाचारी,आचारवान,अनूचान",1
"अनैतिक,नैतिकताहीन,अनीतिपूर्ण,अनुचित,ग़लत,गलत,नीतिविरुद्ध",-1
"जीवाणु,बैक्टीरिया",1
"बहुत,अधिक,ज्यादा,ज़्यादा,ख़ूब,खूब,अतिशय,अति,अगाध,अतीव,काफ़ी,काफी,अंबोह,अनल्प,अनून,अन्यून,अबेश",1
"कम,थोड़ा,जरा,ज़रा,अल्प,न्यून,तनि,तनिक,कुछ,लेश,आंशिक,अनति,अप्रचुर,अबहु,ऊन,तोष,अभूयिष्ट,अभूरि",-1
न्यूनतम,-1
"इक्का-दुक्का,इक्का_दुक्का,एक्का-दुक्का,एक्का_दुक्का",0
"नश्वर,अशाश्वत,क्षणजीवी,क्षयशील,नाशवान,भंगुर,विनाशी,अनित्य,अनित,फानी,फ़ानी,अपायी",-1
"अमर,मृत्यु_विजेता,कालजयी,कालजीत,कालातीत,मृत्युंजय,अमर्त्य,चिरंजीव,चिरंजीवी,चिरजीवी,चिरंजी",0
प्रेरित,1
"द्रवित,द्रवीभूत,दयार्द्र",0
"कंटकहीन,अकंटक,शूलहीन",1
"चालित,परिचालित,प्रचालित",0
"विभाज्य_संख्या,विभाज्य,भाज्य",1
चलना,0
अकर,0
"विश्वव्यापी,विश्वव्याप्त",0
"प्रजा,जन,रैयत,परजा,रिआया",0
"अंतर्राष्ट्रीय,अंतरराष्ट्रीय,अंताराष्ट्रीय,बहुदेशीय,बहुराष्ट्रीय",-1
"अंतर्प्रदेशीय,अंतर्प्रांतीय,अंतर्प्रदेश_स्तरीय,अंतर्राज्यीय,अंतर्राज्यिक",0
"अप्राकृतिक,अप्राकृत",-1
